Project Title,Project Clients,Project Specializations,Number of groups,Background,Requirements and Scope,Required Knowledge and skills,Expected outcomes/deliverables,Supervision,filename
Gamification for rehabilitation using HMD VR,Juno Kim,"Software development; System/game development; Human 
Computer Interaction (HCI).",1,"Patients with sensorimotor dysfunctions (e.g., follow stroke or vestibular damage) often require 
extensive rehabilitation that requires continuous monitoring by clinical staff who provide patients 
with feedback on their performance. What if this feedback could be provided automatically to 
patients engaged in task-orientated activities using virtual reality (VR)?  
 
The project aims to develop a standalone VR application that can be used to perform a quick 
assessment of patient sensorimotor control. This will require the use of a standalone VR 
headset used to immerse patients in virtual environments .","Recreate an existing WebXR application (similar to Whac-a-mole) or create a new interactive 
environment for running a visual search task (e.g., virtual supermarket aisle).  
*The application workflow*  
1. You will create an immersive environment using 3D content development software.  
2. You will adapt or create a new game engine to assess sensorimotor performance in head -
mounted display (HMD) based VR.  
3. Position and orientation of the HMD and hand remotes will need to be monitored to assess 
performance in basic reaching tasks involving virtual target objects.  
4. Users should receive a score for each round of game play.  
5. A simple usability assessment will be undertaken at the end of the project.","Knowledge about game development and application development for virtual reality (e.g., Unity, 
Unreal engines) .","A standalone application and all source code to be delivered with a brief report on usability of 
the system .",Juno Kim,P23 - Gamification for rehabilitation using HMD VR.pdf
Business Process for SMEs Utilizing E-invoicing APIs,"Prof. Fethi Rabhi, Muhammad Raheel Raza  (FAIC researcher )","Software development; Cloud computing; Web application 
development; Mobile application development .",10,"Australian Government has introduced E-invoicing technology, and many businesses need a 
system to convert from PDF to XML format. The purpose of this project is to design and 
implement a comprehensive business process for Small and Medium Enterprises (SMEs) to 
efficiently manage el ectronic invoicing (e-invoicing) using Application Programming Interfaces 
(APIs). The project is specifically PDF -> UBL conversion with validation according to Australian 
rules. This process will encompass e-invoice creation, validation, and sending proce sses.  
The project goals include : 
• Streamline e-invoicing processes for SMEs by leveraging e-invoicing APIs.  
• Invoicing processes for SMEs by leveraging e-invoicing APIs.  
• Reduce manual intervention and errors associated with traditional invoicing methods.  
• Enhance efficiency and accuracy in invoice generation, validation, and transmission.","• Development of a business process flow for e-invoicing encompassing creation, 
validation, and transmission stages.  
• Integration of e-invoicing APIs into existing SME systems or development of standalone 
e-invoicing system.  
• Documentation of the implemented business process and API integration guidelines for 
SMEs.  
• Design of a front-end application combining all the API services.  
• Selection of suitable e-invoicing APIs based on compatibility with SME systems, 
regulatory compliance, and cost-effectiveness.  
• Integration of API authentication mechanisms to ensure secure data transmission.  
• Implementation of data encryption and privacy measures to safeguard sensitive 
invoicing information.  • Testing and validation of the implemented business process and API integrations in a 
controlled environment before deployment.  
• Design of a front-end application, combining all API services.","Software Engineering and software development, Application Programming Interface (API) 
knowledge .","• Fully functional source code.  
• An in-depth report documenting the entire project process.  
• API documentation provided by the selected e-invoicing service providers, including API 
endpoints, request/response formats, authentication methods, and error handling 
procedures.  
• Detailed documentation outlining the business process flow, API integration steps, and 
usage guidelines for SMEs .",Muhammad Raheel Raza,P35 - Business Process for SMEs Utilizing E-invoicing APIs.pdf
Reverse-engineering a Robotic Control System,Hammond Pearce,"Software development; Mobile application development; 
Robotics .",2,"Commercial robots are expensive and come without comprehensive documentation. This is fine 
when the robots are used for their intended purpose, but what can be done if the robot outlives 
the job it was created for - yet remains functional? Ideally, the rob ot would be repurposed, but 
without the proprietary knowledge describing its control system, options are limited.  
 
In this project, the group will resolve this challenge using the case study of a retired food 
delivery robot. Currently the robot is controlled via a closed-source Android app on a custom 
Android platform. We want to reverse engineer the controller to unde rstand it, then replace it 
with our own custom controller. This may involve software and hardware reverse engineering .","1. Understand the existing robot platform and software  
2. Extract the existing Android app and decompile it  
3. Build a model of how the existing Android app functions  
4. Create a new Android app (or similar) which replicates the original functionality  
Ideally we will create a teleoperation app which allows us to ""remote in"" to the robot and control 
it via remote control, seeing through its cameras and drive it from a joystick remotely.","1. Android app development, debugging  
2. Some knowledge of robotics  
3. (Optional but not required) Android app decompilation  
4. (Useful) Knowledge of robotic mapping algorithms like SLAM etc.","1. A documentation guide describing the internal robotic control APIs  
2. Source code of an app which interfaces with those APIs  
3. The app supports teleoperation",Hammond Pearce,P10 - Reverse-engineering a Robotic Control System.pdf
A Platform for Melody Mentoring,Dr Basem Suleiman,"Software development /Engineering , Web Application 
Development,  Algorithms, AI",3,None,None,None,None,None,P40 - A Platform for Melody Mentoring.pdf
Event processing,"Aya Tafech , Dr. Basem Suleiman, Prof. Fethi Rabhi","Software development; Web application development; Computer 
Science and Algorithms; Big data analytics and visualization.",2,"Complex event processing is used to invest and analyse event data to derive business 
knowledge. It is useful when relationships between datasets exist in the form of business 
knowledge and determining which events have occurred and when adds more meaning.","Students will design and build their proposed solution for a complex event processing engine 
that can take two datasets, determine events that have occurred in each and then analyse how 
the events are related via a rule repository.  
The students will need to choose two datasets at least and each dataset must have at least two 
types of events defined. The two datasets also need to be related through business knowledge 
that will be used to create a rule repository. The final design shou ld also include a user interface 
that shows the detected events and the inferred relationships.","• Python programming  
• Good event data processing knowledge  
• Familiarity with Web application development .","• Documentation that covers solution design, architecture,  and use of the event processing 
engine.  
• Implementing the product using two datasets  
• Presentation/demonstration of the application and how a data user would interact with the 
application .",Aya Tafech,P28 - Event processing.pdf
Privacy -Preserving Federated Learning for Medical X-Rays,"Dr Basem Suleiman  and Piyavachara Nacchanandana (Research 
Student) . 
Number of groups: 2 
Main contact:  Piyavachara Nacchanandana",None,2,None,None,"Machine Learning Fundamentals: Strong understanding of machine learning 
concepts, algorithms (e.g., regression, classification, neural networks), and 
evaluation metrics.  
 
Federated Learning: Knowledge of federated learning principles, architectures, and 
challenges.  
 
Programming: Proficiency in Python and experience with machine learning libraries 
(e.g., TensorFlow, PyTorch) and federated learning frameworks (e.g., TensorFlow 
Federated).  
 
Privacy and Security: Understanding of privacy-preserving techniques ( e.g., 
differential privacy, secure aggregation) and security considerations in distributed 
systems.  
 
Data Processing: Familiarity with data preprocessing, feature engineering, and 
handling data heterogeneity.  
 
Problem-Solving: Ability to analyze complex pr oblems, design solutions, and 
implement them effectively.","A working federated learning system tailored to the chosen application domain.  
 
Thorough evaluation of the system's performance and privacy guarantees.  
 
A comprehensive report detailing the project's findings, challenges, and potential 
future directio n.",Piyavachara Nacchanandana,P2 - Privacy-Preserving Federated Learning for Medical X-Rays .pdf
"Development of a Computer Vision -Based Application for Quantifying Food Powder 
Solubility with AI Analysis",Yong Wang,"Software development; Computer Science and Algorithms; 
Artificial Intelligence (Machine/Deep Learning, NLP); Big data analytics and visualization; 
Computer vision; Human Computer Interaction (HCI); Bioinformatics/Biomedical.",4,"The food industry requires an efficient and accurate method to quantify the solubility of food 
powders, which is currently done qualitatively by observing the dissolution of powders in liquid. 
This project aims to develop a computer vision-based application to automate and quantify this 
process. By using video analysis, the software will measure the solubility rate of powders in 
different solvents (cold water, hot water, and coffee) and produce solubility curves over time. 
Additionally, AI and machine learning techniques will be employed to classify the solubility 
results into categories (e.g., good, medium, bad) based on human-marked training data. This 
will provide a more detailed and v aluable understanding of powder solubility, benefiting the 
industry by offering precise, quantifiable data and automated quality assessment.","The project involves developing a software application that can:  
 
Record videos of food powders dissolving in solvents.  
Analyze the video to quantify the remaining powder on the liquid surface over time.  
Produce solubility curves to show the dissolution rate.  
Implement AI/machine learning models to classify solubility re sults based on training data.  
Create a database to store results and improve AI models through continuous training.  
The software will use standardized beakers and controlled stirring methods  to ensure 
consistency. It will start with commercial food powders like milk powder and eventually expand 
to other types.  
Software/Application Development: Create an application for recording and analyzing videos.  
Computer Vision: Implement algorithms to detect and quantify powder residue on the liquid 
surface.  
Data Analysis: Generate solubility curves from the video data.  
AI/Machine Learning: Develop and train models to classify solubility results. Create a feedback 
loop for continuous improvement of the models based on human-marked data.  
Testing: Validate the software using commercial food powders and standardized solvents.  
Documentation: Prepare user guides and technical documentation for the application.","Software development (especially in video processing and computer vision)  
Machine learning and data analysis  
Familiarity with image processing libraries and tools (e.g., OpenCV, TensorFlow)  
Experience with AI/machine learning frameworks (e.g., scikit-learn, PyTorch)  
Basic understanding of food science (preferable but not essential)","Functional software application for video recording and analysis  
Quantified solubility data and solubility curves for different food powders  
AI models for classifying solubility results and a feedback loop for continuous improvement.  
Comprehensive user guide and technical documentation  
Source code repository with proper version control.",Yong Wang,P6 - Development of a Computer Vision-Based Application for Quantifying Food Powder Solubility with AI Analysis.pdf
EA-Assist,"Dr.Basem Suleiman, I romie Samarasekara","Web application development; Artificial Intelligence 
(Machine/Deep Learning, NLP);Big data analytics and visualization; Human Computer 
Interaction (HCI).",2,"With the increasing complexity of today’s business environments, organizations are increasingly 
interested in having a comprehensive conceptual representation of their operating model and 
enterprise architecture. However, owing to the siloed and tacit orientation of knowledge within 
enterprises, e nterprise modelling has become a challenging task which imposes a significant 
cognitive burden on enterprise architects and business analysts. EA-Assist will help to mitigate 
this problem by providing real time conversational assistance to enterprise archi tects that is 
both context specific and reliable .","The EA-Assist project aims to develop a Chatbot that helps enterprise architects to perform 
modelling on enterprise elements. The application should be able to provide conversational 
assistance that is customized for the context of the user. The responses may range from 
definitions to customized entity mappings based on generic industry standards and should also 
be capable of performing entity extraction from unstructure d documents . 
Key Features:  
1. Document Analysis: The application shall be capable of analysing unstructured data to 
extract the relevant information and provide the output as chat responses  
2. LLM Integration: Integration with ChatGPT API to respond to industry specific queries in a 
more personalized manner  
3. Textual and Visual Outputs: The application should be capable of providing outputs that are 
textual for straight forward queries or questions that demand explanations. However, 
diagrammatic outputs would be required to present models as responses.  
4. Ability to Download: Users shall be able to download models in multiple formats (JPG, PNG 
and PDF)  
Innovative Features:  
Develop at least two additional innovative features beyond the required ones.","Web application Development, APIs, Natural Language Processing, Basic understanding on 
Large Language Models .","• Documented source code and a final recorded demo (Following requirement in the 
proposal for the demo).  
• Project documentation covering requirements, architecture design, user workflows, data 
models, and user guides. A section on challenges encountered.",Iromie Samarasekara,P30 - EA-Assist.pdf
Automated testing for software-defined GPS receiver,Ignatius Rivaldi,"Software development; Internet of Things (IoTs); Testing, signal 
processing.",4,"Software defined GPS receivers calculates position, velocity  and timing (PVT) solutions from 
received GPS signals captured from a software-defined radio (SDR). Australian Centre for 
Space Engineering Research (ACSER, https://www.unsw.edu.au/research/acser) develops its 
own in-house receiver as part of our GPS resea rch. Additionally, we also use open source 
software receivers, such as GNSS-SDR, FGI-SGRx and JuliaGNSS.  
However, a simple software bug, such as a wrong sign in one of the navigation equations, will 
lead to a very wrong position solution. One of the example of this was found on an open source 
GPS receiver: https://github.com/JuliaGNSS/PositionVelocityTime.jl/ issues/8 , where a simple 
sign mistake leads to 800 m position error.  
Other than the obvious problem of leading the user to the wrong location, ACSER is using 
these software receivers as part in related GPS research, such as using reflected GPS signals 
from Earth's surface to determine its properties, such as ocean wind spee d and determining 
sea ice boundary. These depends on correct PVT solutions generated from these software 
receivers to generate the correct output.  
To test the receivers, ACSER owns several GPS simulators. These simulators can generate 
simulated GPS signals in different scenarios, such as a stationary receiver or a receiver 
traveling in low Earth orbit. The simulators can output the truth data, allowi ng us to compare the 
accuracy of the software receivers. However, the simulators need to be manually set up, which 
makes it hard to do automated testing.  
In summary, our goal for this project is to:  
- Automate the setup of GPS simulator  
- Interface with the receiver to get PVT solutions  
- Compare the solutions generated by the receiver with truth data generated by GPS simulator  
- Automate these three steps, so that this testbench can run as part of a CI/CD workflow .","The MVP is to create automated test driver for two GPS simulator and two software receivers, 
with a web interface to visualise the results . 
- Create a library to interface with GPS simulators, allowing for full automation  
- Design a system to gather navigation results from GPS receivers under test  - Compare navigation results with ground truth data generated by GPS simulator, following 
common GPS accuracy criteria  
- Integrate with GitHub Actions / other CI/CD system to automatically run the tests  
- (maybe) Use signals from publicly available datasets, such as NASA CYGNSS or sdr.ion.org 
as part of the testing datasets","- Python programming skills  
- Statistics knowledge  
- Willing to learn Dash web dashboard framework .",TBC,Ignatius Rivaldi,P25 - Automated testing for software-defined GPS receiver.pdf
Helping 10 million people with Parkinson's disease walk to the beat of music,"Walking Tall Health , Matthew Brodie",Mobile application development,5,"OVERVIEW  
Translated into five languages, the Walking Tall phone app is already helping 1,000's of people 
with Parkinson's walk. Take the next step with your CSE Capstone project and develop a new 
""walking to the beat of music"" feature in partnership with UNSW spin-out Walking Tall Health.  
 
BACKGROUND  
A team led by UNSW Sydney biomedical engineer Dr Matthew A Brodie developed the Walking 
Tall app following a clinical trial funded by Shake It Up Australia Foundation and the Michael J 
Fox Foundation for Parkinson’s Research. Part of the trial utilised the  app’s gait re-training tool 
which now allows users to set their own training time and pace before delivering a rhythmic 
metronomic beat for three different walking speeds that is designed to trigger movement. The 
app is free to download from the iOS store  and Android store.  
See http://www.walkingtallhealth.com.au/   
 
CAPSTONE GOALS  
Based on end-user feedback, the capstone project will contribute the addition new functionality 
including development options for walking/running to the beat of music, connecting to our new 
life-fit stimulation device, and a new progress tracking/reminders  screen.","Addition new functionality to the Walking Tall Phone App including development options 
regarding walking/running to the beat of music, connecting to our new life-fit stimulation device, 
and a potentially a new progress tracking/reminders screen if progress  on the first two features 
is exceptional .  
Agile approach. Build the prototype and test in some people living with Parkinson's disease (in 
collaboration with Walking Tall Health). Gather feedback on the prototype before a second 
development sprint towards delivery of a functioning (but not necessar ily beautifully finished) 
phone app.",Mobile phone app development,None,None,P4 - Helping 10 million people with Parkinsons disease walk to the beat of music.pdf
"Further Development of ""Colour Combo Rush"", aka the UNSW colour vision suite",E/Prof Stephen Dain and A/Prof Mei Boon (University of Canberra),"Software development; System/game development; Human 
Computer Interaction (HCI) .",6,"One of the problems that limits the possibilities in using computers to examine human colour 
vision this the huge variety of screens and computers is that the colours produced by any 
combination of computer and screen may vary considerably.  As a consequen ce, commercially 
available examination methods use specific computers and screens and have calibration 
procedures.  This means that the systems can be expensive.   
A/Prof Mei Boon, I and others established that the colours within a specific model of iPad mini 
were sufficiently alike that individual calibration was not necessary. 
https://doi.org/10.3758/s13428-016-0725-1.  We designed a colour vision test app, origina lly 
intended for examining diabetic children up to the age of about 12 years.  This was in 3 forms, a 
purely clinical test and versions with two levels of added gaming effects.  We validated and 
compared these versions https://doi.org/10.1089/g4h.2016.0100  and 
https://doi.org/10.3758/s13428-017-0893-7.  We then. published the work on the diabetic 
children https://doi.org/10.1080/08164622.2023.2288176.  There is a further paper in 
preparation on age changes in colour vision.  
We have not assessed them, but we assume that there are variations between models as there 
are between smart phones.  https://doi.org/10.1364/JOSAA.33.00A300.  
We would now like to extend and improve the app in a number of respects.  
1.  The current version is designed for acquired colour vision and we would like to add an option 
to examine congenital deficiencies as well.  The colour part of it is straight forward, requiring a 
second colour look up table but the program needs to allow  selection and processing of the two 
procedures.  
2.  The current version is written for the iPad mini 3.  We would like to app to identify the model 
and select the appropriate colour look up table (we have all the equipment to make the colour 
measurements and provide the RGB values) and sizing according to screen size.  
3.  The current version sends the raw data to a personal UNSW email address (as required by 
UNSW) but that person has left UNSW and we need to look at other methods of sending and 
storing the data in a more accessible form  
4. The current version sends out the raw data, we would like to look at the possibilities of 
processing and storing the data in the app and, as well as transmitting it, having the option to 
display it on the screen.  
5 There are probably some bugs still to be ironed out. .","Programming in order to;  
1. Extend the scope to congenital colour vision deficiencies  
2. Run the app on other Apple tablets  
3. Improve the data processing, communication and storage options . 
To work with the colour vision researchers to achieve the aims.  Colour vision knowledge is not 
necessary but some idea of the design and use of colour vision tests may be found in 
https://doi.org/10.1111/j.1444-0938.2004.tb05057.x","iOS programming essential  
Gamification knowledge a useful, but not essential, skill .","'An improved app that can be used as a research tool for the examination and tracking of 
chuman colour vision .",Stephen Dain,"P42 - Further Development of Colour Combo Rush, aka the UNSW colour vision suite.pdf"
Accelerating Cryptographic Prototyping: A Re-evaluation of the Charm Library,Evan Krul,"Software development; Computer Science and Algorithms; 
Security/Cyber Security .",7,"This project aims to enable rapid prototyping and evaluation of cryptographic schemes by 
updating the crypto-charm library (<https://github.com/JHUISI/charm>).  
 
**Background**  
Cryptographic schemes are behind every single digital interaction.  
- Websites have SSL certificates issued and digitally signed by a certificate authority.  
- Traffic between a browser and server is encrypted.  
- Blockchains rely on signatures and hash functions at their core.  
 
Cryptographic protocols expand on this and describe the interaction between parties.  
- Browsers and clients exchange encryption keys securely.  
- Users can sign on to SSH by proving they know the private key that belongs to a public key 
installed on the server.  
There is continual research and development into these schemes. For example, recent 
changes to BBS signatures \[1, 2\] are being proposed to enable privacy-preserving digital 
driver licenses. This proposal includes a signature scheme and a protocol to pres ent digital 
identities securely. (If you want to chat more about this, please reach out to me. It is very 
interesting.)  
When a cryptographic scheme needs to be implemented, we usually have two options.  
1. Implement a _production-ready_ library in a low-level language like C or Rust  
2. Implement a _prototype_library in a high-level language like Python  
Option 1 is the indisputably correct option if the intent is to distribute the scheme or protocol. 
Implementing crypto in a low-level language is not easy and comes with many 'foot guns' that 
must be addressed for the implementation to be 'secure enough' f or production use.  
Furthermore, a proposed cryptographic scheme is not static. They must be carefully reviewed 
and updated (i.e., the BBS Signature Draft \[2\] has been under revision since 2022). There is 
no use in spending the time and effort to implement a _production_ li brary for a non-production-
ready scheme.  This is where Option 2 plays a key role. Being able to prototype a scheme or protocol in a high-
level language rapidly means that researchers can quickly publish and evaluate working 
implementations of their proposals without concerning themselves with the  complex inner 
workings of programming crypto libraries.","**The Project**  
In 2011, the crypto-charm library was introduced \[3\] (<https://github.com/JHUISI/charm>) to 
enable Python implementations of cryptographic schemes/protocols. Charm is an abstraction 
on top of the same low-level libraries used to implement production-ready crypto.  
Unfortunately, Charm has fallen out of date, and with no replacement in sight, Charm requires 
serious TLC.  
This project aims to create a fork of Charm that addresses its fundamental flaws and makes it a 
viable library researchers can use for the next decade. This is a unique opportunity to 
undertake a significant technical challenge – with a wide range of skill s required – while making 
a meaningful contribution to a heavily relied-on library.  
The general goals of this project are as follows:  
1. Address general critical deficiencies in Charm  
2. Implement a new protocol engine  
3. Implement support for recent low-level crypto libraries (more recent pairing curves, etc.)  
4. Update benchmarking  
5. Update the toolkit with recent schemes for comparisons  
6. Create updated build profiles for deployment  
7. Detailed documentation (in code and library usage)  
The project's scope is adaptable to the student's progress and challenges encountered during 
the project.  
Students are encouraged to propose further improvements as they familiarise themselves with 
the project . 
\[1\] S. Tessaro and C. Zhu, “Revisiting BBS Signatures UPDATED.” 2023. Accessed: Apr. 24, 
2024. \[Online \]. Available: <https://eprint.iacr.org/2023/275>  
\[2\] T. Looker, V. Kalos, A. Whitehead, and M. Lodder, “The BBS Signature Scheme,” Internet 
Engineering Task Force, Internet Draft draft-irtf-cfrg-bbs-signatures-05, Dec. 2023. Accessed: 
May 15, 2024. \[Online \]. Available: <https://datatracker.ietf.org/doc/draft-irtf-cfrg-bbs-signatures>  
\[3\] J. A. Akinyele, M. D. Green, and A. D. Rubin, “Charm: A framework for Rapidly Prototyping 
Cryptosystems.” 2011. Accessed: May 15, 2024. \[Online \]. Available: 
<https://eprint.iacr.org/2011/617>  
- A fork of the Charm library that addresses, at a minimum:  
  - Modern building and deployment of the library  
  - Swappable support of modern low-level crypto libraries    - A protocol engine that does not rely on sockets and is amenable to test-driven-development  
- Clear documentation of new and existing functionality  
  - In code is a minimum requirement.  
  - Further documentation is a plus.","- One group member MUST have some understanding of cryptographic schemes and protocols  
  - Integer Groups  
  - Elliptic Curve Groups  
  - Pairing Curve Groups  
  - Basic Signature and Encryption schemes  
- OR One group member MUST have taken:  
   - MATH1081 (Discrete Mathematics)  
   - MATH 2400 or MATH3411  
    - or equivalents  
- Strong knowledge of Python  
- Strong knowledge of C  
- Ability to read and implement academic papers describing a scheme or protocol","The expected outcome is a robust crypto -prototyping library for the next decade.  
- Source code  
- Documentation",Evan Krul,P19 - Accelerating Cryptographic Prototyping- A Re-evaluation of the Charm Library.pdf
Capstone Projects Management Platform,"Dr Basem Suleiman , School of Computer Science and 
Engineering","Software development /Engineering , Web Application 
Development .",8,"Capstone projects involve many stakeholders such as students, academics, industry 
partners and administrators. Supporting the management of capstone projects 
becomes crucial for large number of projects and stakeholders. This includes 
streamlining the capstone project process, from project creation and allocation to 
communication, analytics, and reporting. It aims to enhance the experience of both 
students and project owners, including academics and industry partners, involved in 
capstone projects.   
 
This project can involve multiple teams who are willing to work under one project and 
share a technology infrastructure and environment. Detailed features (including the 
ones listed below) will be discussed and distributed among different teams. Allocated 
teams should work as one team and under one project.","The goal of this project is to design and implement a Web application to support the 
management of capstone projects. This includes designing optimal and intuitive 
processes for the capstone projects, from project creation and allocation to 
communication, analytics, and reporting. The processes, which will be design and 
implemented as part of this project, to enhance stakehold ers’ experience, including 
academics and industry partners. The core features of this platform include  the 
following (additional and more detailed requirements will be discussed with allocated 
teams)  
• User roles and profiles: a dministrator  users, s tudents , project clients (e.g., 
academics, industry partners), coordinators and tutors.  
• Project clients to create and maintain projects, view students’ preferences,  
• Students maintaining their profiles and preferences.   
• Students forming groups and choosing project preferences.  
• Coordinator and tutors can facilitate groups and projects.  
• Students communicate with project clients and coordinators and tutors.  
• Coordinators and tutors o versee and approve project allocations.  
• Integrated messaging for students and project owners to communicate.  
• Notifications for project updates, messages, and allocation results . • Generati ng reports on project allocation, student preferences, and project 
outcomes.  
• Dashboard management of groups and projects","• Familiarity with web application development (front-end and back-end) 
o Technology stack can be flexible – e.g., MEAN stack.  
• Familiarity with web development and testing frameworks and practices  
• Familiarity with database design and management for storing data  (e.g., 
NoSQL)   
• Familiarity with UI/UX principles and implementation  
• Familiarity with Agile software development methods, practices,  and tools  
• Familiarity with software testing , building and deployment.","• Project documentation including source code, system architecture and design, 
UI/UX, different types of testing, user manuals and guide, technical guide.  
• Responsive Web application which is accessible on various devices, e.g., 
tablets and smartphones.",None,P37 - Capstone Projects Management Platform.pdf
Workload Allocation Software for all Engineering Schools,Ellie Williams,Software development; Security/Cyber Security .,9,"Currently, each school in Engineering has their own system of managing workload allocation for 
their academics and casual academics - they range from spreadsheets through to databases 
that require a strong level of SQL knowledge to maintain. It would be highly beneficial for all 
schools to have a single piece of software that is user friendly (ie doesn't require coding/SQL 
knowledge to enter information ) that can also be personalised for each school (ie each school 
can enter their own workload formula to generate hours for their staff). It would need to hold a 
large amount of personal data (so it would need to be secure) but easy to enter and extract 
information .","It would be ideal if it could feed directly into CASTLE (the casual academic timesheet system) 
to generate teaching hours for casual academics, however this isn't vital, as long as there would 
be a way to export the data in csv format.  
Software that is user-friendly, that can be maintained long term by UNSW IT support. Active 
data would not be shared during the development stage - dummy data will be provided for the 
establishment of the project.","Software development, understanding of cybersecurity.","Functional software, user guides .",Ellie Williams,P15 - Workload Allocation Software for all Engineering Schools.pdf
Enhancing Code Security with AI-Driven Vulnerability Detection and Explanation,Dipankar Chaki and Helen Paik,"Software development; Artificial Intelligence (Machine/Deep 
Learning, NLP); Security/Cyber Security .",1,"In the digital age, software security is a critical concern, with vulnerabilities posing significant 
risks. This capstone project aims to harness the power of Artificial Intelligence (AI) and Large 
Language Models (LLMs) to create an innovative tool that revolutionizes how developers 
understand and fix vulnerabilities in  their code. Utilizing CodeBERT, a state-of-the-art LLM 
specifically designed for understanding programming languages, this project will develop a 
system that not only identifies potential security vulnerabilities in source code but also provides 
clear, un derstandable explanations of these issues. The aim of this project is to empower 
developers with an AI assistant that enhances code safety while educating them on best 
security practices, thereby fostering a culture of proactive security mindfulness .","Programming Languages: The tool will support essential languages such as C/C++, Python, 
and Java, covering a broad spectrum of software development scenarios.  
Tools and Technologies: The project will leverage CodeBERT for its powerful code 
comprehension capabilities. We will utilize Python to handle backend development and 
integrate with advanced Machine Learning (ML) and Deep Learning (DL) frameworks like 
PyTor ch or TensorFlow to optimize and manage the AI models.  
Development Stages: The project involves multiple phases, including the initial setup of the AI 
environment, the fine-tuning of CodeBERT to adapt to specific types of code vulnerabilities, the 
development of a user-friendly VS Code extension, and extensive  testing to ensure the tool's 
reliability and ease of use in a real-world development setting . 
Model Training: Fine-tuning the pre-trained CodeBERT model requires adjusting its parameters 
to specialize in detecting and explaining specific code vulnerabilities. This task will involve 
manipulating training hyperparameters such as learning rate, batch size, and epoch count to 
refine the model's accuracy and performance. This stage will leverage DL techniques to train 
the model effectively on a curated dataset of annotated code samples.  
Interface Development: Developing a seamless and intuitive plugin for Visual Studio Code, 
which will allow users to analyse code directly within their development environment. This 
plugin will interact with the AI model to provide real-time feedback and ex planations, enhancing 
the developer's ability to quickly understand and rectify software vulnerabilities.  
Testing and Validation: Ensuring the tool's effectiveness through comprehensive testing, 
including automated unit tests to confirm each component's functionality and user acceptance testing to gauge the tool’s practical utility. Feedback from these tests will be crucial in iterating 
and improving the tool's design and functionality.","Required Skills:  
Programming Proficiency: Advanced proficiency in Python is essential for handling the backend 
development and AI integration tasks. This skill is crucial as Python serves as the backbone for 
most machine learning operations and scripting within this projec t. 
Machine Learning Knowledge: A strong foundation in ML and DL, especially in natural language 
processing and neural networks, is crucial. Hands-on experience with ML frameworks like 
PyTorch or TensorFlow is required to effectively manage the AI models' trai ning and operational 
phases.  
Data Handling: Effective skills in data manipulation and analysis are necessary to manage and 
preprocess datasets during the AI model training phase. This includes cleaning, structuring, and 
optimizing data inputs to ensure that the model training is effic ient and productive.  
Desired Skills/Good to Have:  
Security Basics: While not strictly necessary, having a fundamental understanding of common 
software vulnerabilities and security practices would greatly benefit students in implementing 
and testing the AI model's vulnerability detection capabilities.  
VS Code Extension Development: Familiarity with developing extensions for Visual Studio 
Code is highly desirable. Knowledge of the VS Code API and the ability to integrate complex 
functionalities within the VS Code environment would enhance the project’s i mplementation and 
user experience but is not required for initial participation in the project.","Source Code: Fully functional source code for both the AI model's training algorithms and the 
VS Code extension.  
Documentation: Comprehensive documentation that details every aspect of the project, from 
system architecture and AI model configurations to step-by-step setup and usage instructions.  
User Guide: A detailed guide providing clear instructions on how to install and efficiently use the 
VS Code extension. This guide will include troubleshooting tips and user FAQs to assist 
developers in leveraging the tool to its fullest potential.  
Final Report: An in-depth report documenting the entire project process, from conception 
through development to final testing. The report will evaluate the tool's impact on improving 
code security and developer practices.  
Presentation: A polished presentation designed to showcase the project's innovative features, 
demonstrate its functionality within the VS Code environment, and highlight the practical 
applications and benefits of integrating AI into software development wo rkflows .",Dipankar Chaki,P24 - Enhancing Code Security with AI-Driven Vulnerability Detection and Explanation.pdf
A web based digital twin platform for sustainability analysis,Mohsen Kalantari,Web application development .,2,"This project aims to customize  an open-source digital twin platform to spatially map the carbon 
footprints and greenhouse emissions of various industries in Australia .","You will work on customising TerriaJS, an open-source framework for web-based geospatial 
catalogue explorers. https://docs.terria.io/guide/ . 
Deploy TerriaJS  
Integrate greenhouse gas emissions data with land use data of Australia  
Publish the integrated data via TerriaJS  
Develop analytical and visualisation options","TerriaJS can be extensively customized, often without writing any code. JSON configuration 
files control the catalogue and many aspects of the look and feel .",A web-based mapping system deployed in a UNSW server .,Mohsen Kalantari,P31 - A web based digital twin platform for sustainablity analysis.pdf
